kernel,shape_id,repeat,round,best_so_far_ms,new_configs_tested,improvement_pct
attention,ATN_001,0,0,11.296000331640244,11,0.0
attention,ATN_001,0,1,11.264000087976456,15,0.28328826774335997
attention,ATN_001,0,2,11.264000087976456,15,0.28328826774335997
attention,ATN_001,1,0,11.296000331640244,11,0.0
attention,ATN_001,1,1,11.28000020980835,15,0.14164413387167998
attention,ATN_001,1,2,11.231999844312668,15,0.5665765354867199
attention,ATN_001,2,0,11.296000331640244,11,0.0
attention,ATN_001,2,1,11.264000087976456,15,0.28328826774335997
attention,ATN_001,2,2,9.312000125646591,15,17.56374068471335
attention,ATN_001,2,3,9.279999881982803,15,17.847028952456707
attention,ATN_002,0,0,15.39199985563755,11,0.0
attention,ATN_002,0,1,15.39199985563755,15,0.0
attention,ATN_002,0,2,15.39199985563755,15,0.0
attention,ATN_002,1,0,15.39199985563755,11,0.0
attention,ATN_002,1,1,15.39199985563755,15,0.0
attention,ATN_002,1,2,13.344000093638897,15,13.305611884140855
attention,ATN_002,1,3,13.344000093638897,15,13.305611884140855
attention,ATN_002,2,0,15.39199985563755,11,0.0
attention,ATN_002,2,1,15.39199985563755,15,0.0
attention,ATN_002,2,2,15.359999611973763,15,0.20790179290488542
attention,ATN_003,0,0,35.87200120091438,11,0.0
attention,ATN_003,1,0,31.74399957060814,11,0.0
attention,ATN_003,1,1,27.68000029027462,15,12.802417260918778
attention,ATN_003,1,2,27.68000029027462,15,12.802417260918778
attention,ATN_003,1,3,27.68000029027462,15,12.802417260918778
attention,ATN_003,2,0,35.87200120091438,11,0.0
attention,ATN_004,0,0,19.45599913597107,11,0.0
attention,ATN_004,0,1,17.40800030529499,15,10.526310246846448
attention,ATN_004,0,2,17.40800030529499,15,10.526310246846448
attention,ATN_004,0,3,17.40800030529499,15,10.526310246846448
attention,ATN_004,1,0,19.487999379634857,11,0.0
attention,ATN_004,1,1,17.40800030529499,15,10.673230401030725
attention,ATN_004,1,2,17.44000054895878,15,10.509025532996768
attention,ATN_004,1,3,17.40800030529499,15,10.673230401030725
attention,ATN_004,2,0,19.45599913597107,11,0.0
attention,ATN_004,2,1,15.456000342965126,15,20.559205235626155
attention,ATN_004,2,2,15.32800029963255,15,21.21710022440586
attention,ATN_004,2,3,13.439999893307686,15,30.92105011220293
attention,ATN_005,0,0,29.61600013077259,11,0.0
