kernel,shape_id,repeat,round,best_so_far_ms,new_configs_tested,improvement_pct
attention,ATN_001,0,0,15.39199985563755,11,0.0
attention,ATN_001,0,1,13.311999849975109,15,13.51351367704574
attention,ATN_001,0,2,11.296000331640244,15,26.61122376828171
attention,ATN_001,0,3,11.296000331640244,15,26.61122376828171
attention,ATN_001,1,0,15.39199985563755,11,0.0
attention,ATN_001,1,1,13.279999606311321,15,13.721415469950626
attention,ATN_001,1,2,11.296000331640244,15,26.61122376828171
attention,ATN_001,1,3,11.264000087976456,15,26.819125561186596
attention,ATN_001,2,0,15.39199985563755,11,0.0
attention,ATN_001,2,1,11.296000331640244,15,26.61122376828171
attention,ATN_001,2,2,11.296000331640244,15,26.61122376828171
attention,ATN_001,2,3,11.28000020980835,15,26.715174664734153
attention,ATN_002,0,0,21.536000072956085,11,0.0
attention,ATN_002,0,1,19.487999379634857,15,9.50966143380085
attention,ATN_002,0,2,17.535999417304993,15,18.573554244523375
attention,ATN_002,0,3,17.44000054895878,15,19.019314218617943
attention,ATN_002,1,0,21.536000072956085,11,0.0
attention,ATN_002,2,0,21.536000072956085,11,0.0
attention,ATN_003,0,0,35.90400144457817,11,0.0
attention,ATN_003,0,1,31.775999814271927,15,11.49733028135673
attention,ATN_003,0,2,27.68000029027462,15,22.905528140082694
attention,ATN_003,0,3,27.648000046610832,15,22.994655374865104
attention,ATN_003,1,0,35.87200120091438,11,0.0
attention,ATN_003,1,1,35.840000957250595,15,0.08920674228504472
attention,ATN_003,1,2,33.824000507593155,15,5.709189966432718
attention,ATN_003,1,3,29.7279991209507,15,17.12756989929815
attention,ATN_003,2,0,35.87200120091438,11,0.0
attention,ATN_003,2,1,31.775999814271927,15,11.418379932865436
attention,ATN_003,2,2,31.775999814271927,15,11.418379932865436
attention,ATN_003,2,3,29.7279991209507,15,17.12756989929815
attention,ATN_004,0,0,19.487999379634857,11,0.0
attention,ATN_004,0,1,17.40800030529499,15,10.673230401030725
attention,ATN_004,0,2,17.40800030529499,15,10.673230401030725
attention,ATN_004,0,3,15.39199985563755,15,21.018060623902034
attention,ATN_004,1,0,19.487999379634857,11,0.0
attention,ATN_004,1,1,17.44000054895878,15,10.509025532996768
attention,ATN_004,1,2,17.40800030529499,15,10.673230401030725
attention,ATN_004,1,3,17.40800030529499,15,10.673230401030725
attention,ATN_004,2,0,19.487999379634857,11,0.0
attention,ATN_004,2,1,17.44000054895878,15,10.509025532996768
attention,ATN_004,2,2,15.39199985563755,15,21.018060623902034
attention,ATN_004,2,3,13.535999692976475,15,30.54187128555781
attention,ATN_005,0,0,35.90400144457817,11,0.0
attention,ATN_005,1,0,29.7279991209507,11,0.0
attention,ATN_005,1,1,27.68000029027462,15,6.889124365025828
attention,ATN_005,1,2,27.68000029027462,15,6.889124365025828
attention,ATN_005,1,3,27.68000029027462,15,6.889124365025828
attention,ATN_005,2,0,29.69600073993206,11,0.0
attention,ATN_005,2,1,25.631999596953392,15,13.685348335521244
attention,ATN_005,2,2,25.567999109625816,15,13.900867212585096
attention,ATN_005,2,3,25.631999596953392,15,13.685348335521244
attention,ATN_006,0,0,23.520000278949738,11,0.0
attention,ATN_006,0,1,19.487999379634857,15,17.142860763158655
attention,ATN_006,0,2,19.45599913597107,15,17.27891621929922
attention,ATN_006,0,3,17.472000792622566,15,25.714283225328426
attention,ATN_006,1,0,23.584000766277313,11,0.0
attention,ATN_006,1,1,19.487999379634857,15,17.36771223523413
attention,ATN_006,1,2,19.45599913597107,15,17.503398474311705
attention,ATN_006,1,3,19.45599913597107,15,17.503398474311705
attention,ATN_006,2,0,23.455999791622162,11,0.0
attention,ATN_007,0,0,58.49599838256836,11,0.0
attention,ATN_007,0,1,52.25599929690361,15,10.667394793152638
attention,ATN_007,0,2,52.22399905323982,15,10.722099806399022
attention,ATN_007,0,3,52.22399905323982,15,10.722099806399022
attention,ATN_007,1,0,52.25599929690361,11,0.0
attention,ATN_007,1,1,52.25599929690361,15,0.0
attention,ATN_007,1,2,52.22399905323982,15,0.061237454252805745
attention,ATN_007,2,0,52.25599929690361,11,0.0
attention,ATN_101,0,0,19.45599913597107,11,0.0
attention,ATN_101,0,1,17.44000054895878,15,10.361835302947913
attention,ATN_101,0,2,15.39199985563755,15,20.888155123423225
attention,ATN_101,0,3,15.39199985563755,15,20.888155123423225
attention,ATN_101,1,0,19.487999379634857,11,0.0
attention,ATN_101,2,0,19.45599913597107,11,0.0
attention,ATN_102,0,0,29.69600073993206,11,0.0
attention,ATN_102,0,1,25.631999596953392,15,13.685348335521244
attention,ATN_102,0,2,25.567999109625816,15,13.900867212585096
attention,ATN_102,0,3,23.69599975645542,15,20.20474418768608
attention,ATN_102,1,0,29.69600073993206,11,0.0
attention,ATN_102,1,1,25.631999596953392,15,13.685348335521244
attention,ATN_102,1,2,25.599999353289604,15,13.793107774053171
attention,ATN_102,1,3,23.744000121951103,15,20.043105029888192
attention,ATN_102,2,0,29.7279991209507,11,0.0
attention,ATN_102,2,1,25.631999596953392,15,13.778254995677344
attention,ATN_102,2,2,25.599999353289604,15,13.885898444984484
attention,ATN_102,2,3,25.536000728607178,15,14.10117907797308
attention,ATN_103,0,0,66.6240006685257,11,0.0
attention,ATN_103,1,0,66.6240006685257,11,0.0
attention,ATN_103,2,0,68.64000111818314,11,0.0
attention,ATN_103,2,1,54.30399999022484,15,20.88578218883596
attention,ATN_103,2,2,46.112000942230225,15,32.82051254219038
attention,ATN_103,2,3,46.112000942230225,15,32.82051254219038
attention,ATN_104,0,0,82.97599852085114,11,0.0
attention,ATN_104,0,1,76.86399668455124,15,7.365987689517234
attention,ATN_104,0,2,76.80000364780426,15,7.443110035602526
attention,ATN_104,0,3,76.76800340414047,15,7.4816756982450165
attention,ATN_104,1,0,109.6000000834465,11,0.0
attention,ATN_104,1,1,97.31200337409973,15,11.211675821159691
attention,ATN_104,1,2,97.31200337409973,15,11.211675821159691
attention,ATN_104,1,3,95.32800316810608,15,13.02189498583404
attention,ATN_104,2,0,82.94399827718735,11,0.0
attention,ATN_104,2,1,76.80000364780426,15,7.407401086273547
attention,ATN_104,2,2,76.83199644088745,15,7.3688295274534905
attention,ATN_104,2,3,76.7040029168129,15,7.523142710725435
attention,ATN_105,0,0,11.296000331640244,11,0.0
attention,ATN_105,0,1,9.216000325977802,15,18.413597243232495
attention,ATN_105,0,2,9.184000082314014,15,18.696885510975854
attention,ATN_105,0,3,7.168000098317862,15,36.543910341077094
attention,ATN_105,1,0,11.296000331640244,11,0.0
attention,ATN_105,1,1,9.216000325977802,15,18.413597243232495
attention,ATN_105,1,2,9.088000282645226,15,19.546742069495
attention,ATN_105,1,3,7.23200011998415,15,35.97733792794585
attention,ATN_105,2,0,11.296000331640244,11,0.0
attention,ATN_105,2,1,9.216000325977802,15,18.413597243232495
attention,ATN_105,2,2,7.2480000089854,15,35.8356958552519
attention,ATN_105,2,3,7.199999876320362,15,36.260626195689206
