kernel,shape_id,repeat,round,best_so_far_ms,new_configs_tested,improvement_pct
layernorm,LN_001,0,0,7.135999854654074,11,0.0
layernorm,LN_001,1,0,7.135999854654074,11,0.0
layernorm,LN_001,1,1,7.135999854654074,15,0.0
layernorm,LN_001,1,2,7.135999854654074,15,0.0
layernorm,LN_001,2,0,7.183999987319112,11,0.0
layernorm,LN_001,2,1,7.135999854654074,15,0.6681532955145585
layernorm,LN_001,2,2,7.135999854654074,15,0.6681532955145585
layernorm,LN_001,2,3,7.135999854654074,15,0.6681532955145585
layernorm,LN_002,0,0,7.199999876320362,11,0.0
layernorm,LN_002,0,1,7.168000098317862,15,0.44444136878033347
layernorm,LN_002,0,2,7.168000098317862,15,0.44444136878033347
layernorm,LN_002,1,0,7.199999876320362,11,0.0
layernorm,LN_002,1,1,9.184000082314014,15,-27.555558889920384
layernorm,LN_002,1,2,9.184000082314014,15,-27.555558889920384
layernorm,LN_002,2,0,9.184000082314014,11,0.0
layernorm,LN_003,0,0,7.168000098317862,11,0.0
layernorm,LN_003,0,1,7.168000098317862,15,0.0
layernorm,LN_003,0,2,7.168000098317862,15,0.0
layernorm,LN_003,1,0,7.199999876320362,11,0.0
layernorm,LN_003,1,1,7.168000098317862,15,0.44444136878033347
layernorm,LN_003,1,2,7.168000098317862,15,0.44444136878033347
layernorm,LN_003,2,0,7.168000098317862,11,0.0
layernorm,LN_003,2,1,7.168000098317862,15,0.0
layernorm,LN_003,2,2,7.183999987319112,15,-0.22321273412098608
layernorm,LN_004,0,0,9.216000325977802,11,0.0
layernorm,LN_004,0,1,11.19999960064888,15,-21.527769145999663
layernorm,LN_004,0,2,11.19999960064888,15,-21.527769145999663
layernorm,LN_004,1,0,9.184000082314014,11,0.0
layernorm,LN_004,1,1,11.231999844312668,15,-22.29964877659971
layernorm,LN_004,1,2,11.19999960064888,15,-21.95121407083994
layernorm,LN_004,2,0,9.184000082314014,11,0.0
layernorm,LN_004,2,1,11.19999960064888,15,-21.95121407083994
layernorm,LN_004,2,2,9.184000082314014,15,0.0
layernorm,LN_004,2,3,9.184000082314014,15,0.0
layernorm,LN_005,0,0,11.231999844312668,11,0.0
layernorm,LN_005,1,0,11.103999800980091,11,0.0
layernorm,LN_005,2,0,11.231999844312668,11,0.0
layernorm,LN_006,0,0,17.376000061631203,11,0.0
layernorm,LN_006,0,1,19.42400075495243,15,-11.78637595566956
layernorm,LN_006,0,2,19.42400075495243,15,-11.78637595566956
layernorm,LN_006,1,0,17.44000054895878,11,0.0
layernorm,LN_006,1,1,19.42400075495243,15,-11.376147612060157
layernorm,LN_006,1,2,19.42400075495243,15,-11.376147612060157
layernorm,LN_006,2,0,17.376000061631203,11,0.0
layernorm,LN_006,2,1,19.42400075495243,15,-11.78637595566956
layernorm,LN_006,2,2,19.42400075495243,15,-11.78637595566956
layernorm,LN_007,0,0,54.1439987719059,11,0.0
layernorm,LN_007,0,1,54.11199852824211,15,0.059102106216048535
layernorm,LN_007,0,2,52.191998809576035,15,3.605200957825659
layernorm,LN_007,0,3,52.191998809576035,15,3.605200957825659
layernorm,LN_007,1,0,54.17599901556969,11,0.0
layernorm,LN_007,1,1,54.17599901556969,15,0.0
layernorm,LN_007,1,2,54.207999259233475,15,-0.05906719625897672
layernorm,LN_007,2,0,52.22399905323982,11,0.0
layernorm,LN_007,2,1,52.22399905323982,15,0.0
layernorm,LN_007,2,2,52.2879995405674,15,-0.12254995497822813
layernorm,LN_101,0,0,9.119999594986439,11,0.0
layernorm,LN_101,0,1,9.119999594986439,15,0.0
layernorm,LN_101,0,2,9.088000282645226,15,0.3508696684460852
